date,Omicron_BA2,Omicron_BA1,average_c,average_k,Omicron_BA2_lb,Omicron_BA2_ub,Omicron_BA1_lb,Omicron_BA1_ub,average_c_lb,average_c_ub,average_k_lb,average_k_ub
2022-04-29,0.972984498874915,0.027015501125084995,1.0,1.3196756660907767,0.9623375704070681,0.9794973452517981,0.0205026547482019,0.03766242959293187,1.0,1.0,1.285101881707512,1.363136639718343
2022-04-30,0.9750883341626535,0.024911665837346497,1.0,1.3203668846535912,0.9650101515680725,0.9812637964060429,0.018736203593957113,0.03498984843192754,1.0,1.0,1.2858936599165829,1.363791529840801
2022-05-01,0.9770318092992372,0.022968190700762836,1.0,1.3210054166235627,0.9674989071426787,0.9828804112821958,0.01711958871780417,0.03250109285732128,1.0,1.0,1.2866309780045904,1.3643908699989857
2022-05-02,0.9788266234182649,0.021173376581735126,1.0,1.3215951057703812,0.9698156765104253,0.9843595087582371,0.01564049124176292,0.03018432348957467,1.0,1.0,1.2873173435030791,1.364939227265975
2022-05-03,0.9804837015025339,0.019516298497466056,1.0,1.3221395415152113,0.9719716484212418,0.9857124599541499,0.014287540045850089,0.02802835157875816,1.0,1.0,1.2879560711882325,1.3654408173451809
2022-05-04,0.9820132333400899,0.01798676665991006,1.0,1.3226420717297658,0.9739773806846949,0.9869497501604299,0.01305024983957015,0.02602261931530514,1.0,1.0,1.2885502889140041,1.3658995275295862
2022-05-05,0.9834247125484521,0.016575287451547904,1.0,1.3231058155577797,0.9758428218551823,0.9880810386593882,0.011918961340611767,0.02415717814481766,1.0,1.0,1.2891029440365678,1.3663189388797599
2022-05-06,0.9847269752401204,0.015273024759879572,1.0,1.323533676118627,0.9775773343788985,0.9891152161185552,0.01088478388144476,0.022422665621101512,1.0,1.0,1.28961681027183,1.3667023475017586
2022-05-07,0.9859282379877773,0.01407176201222271,1.0,1.3239283529808494,0.9791897187441813,0.9900604593365429,0.009939540663457147,0.02081028125581874,1.0,1.0,1.2900944948502087,1.3670527848434832
2022-05-08,0.987036134820899,0.012963865179100975,1.0,1.3242923543174565,0.980688238245188,0.9909242832044207,0.00907571679557928,0.019311761754811974,1.0,1.0,1.2905384458531106,1.3673730369587243
2022-05-09,0.98805775304809,0.01194224695191004,1.0,1.324628008675409,0.9820806440299309,0.9917135898124851,0.008286410187514859,0.017919355970069106,1.0,1.0,1.290950959633657,1.3676656627128925
2022-05-10,0.9889996677524611,0.011000332247538935,1.0,1.3249374763091366,0.9833742001579783,0.992434714685716,0.00756528531428402,0.016625799842021727,1.0,1.0,1.2913341882402727,1.3679330109242498
2022-05-11,0.9898679748519207,0.010132025148079316,1.0,1.3252227600425486,0.9845757084409942,0.9930934701732566,0.006906529826743446,0.01542429155900582,1.0,1.0,1.291690146775935,1.368177236450027
2022-05-12,0.9906683226534234,0.009331677346576583,1.0,1.3254857156362354,0.9856915328812256,0.9936951860497661,0.006304813950233856,0.014308467118774426,1.0,1.0,1.2920207206383174,1.3684003152388775
2022-05-13,0.9914059418608903,0.00859405813910974,1.0,1.32572806164662,0.9867276235596013,0.994244747411073,0.005755252588926951,0.013272376440398692,1.0,1.0,1.292327672596869,1.368604058380226
2022-05-14,0.9920856740216485,0.00791432597835151,1.0,1.3259513887720829,0.9876895398567346,0.9947466299645896,0.005253370035410376,0.012310460143265423,1.0,1.0,1.2926126496722645,1.3687901251877581
2022-05-15,0.9927119984165459,0.007288001583454107,1.0,1.3261571686877538,0.9885824729173046,0.9952049328276114,0.004795067172388645,0.011417527082695389,1.0,1.0,1.2928771897916946,1.368960035358988
2022-05-16,0.993289057415102,0.006710942584898016,1.0,1.326346762375989,0.9894112672915806,0.9956234089548841,0.004376591045115896,0.010588732708419424,1.0,1.0,1.2931227282003785,1.3691151802559056
2022-05-17,0.9938206803297658,0.006179319670234218,1.0,1.3265214279637252,0.9901804417075558,0.9960054933216181,0.0039945066783818595,0.009819558292444186,1.0,1.0,1.293350603615513,1.369256833353484
